URI	membersInSweden	members	label
http://www.wikidata.org/entity/Q11315	106	6485	shopping center
http://www.wikidata.org/entity/Q15127012	0	6461	town of the United States
http://www.wikidata.org/entity/Q15911738	118	6448	hydroelectric power station
http://www.wikidata.org/entity/Q618123	275	6383	geographical feature
http://www.wikidata.org/entity/Q1191622	0	6376	Special Area of Conservation
http://www.wikidata.org/entity/Q14757767	0	6374	fourth-level administrative country subdivision
http://www.wikidata.org/entity/Q398141	0	6368	school district
http://www.wikidata.org/entity/Q214252	0	6310	stable
http://www.wikidata.org/entity/Q12488913	0	6262	kampung of Papua
http://www.wikidata.org/entity/Q5153359	0	6259	municipality of the Czech Republic
http://www.wikidata.org/entity/Q350895	8	6212	abandoned village
http://www.wikidata.org/entity/Q2023000	0	6194	khutor
http://www.wikidata.org/entity/Q65954144	0	6193	Canara Bank branch
http://www.wikidata.org/entity/Q12518	21	6104	tower
http://www.wikidata.org/entity/Q192611	390	6064	electoral district
http://www.wikidata.org/entity/Q3395377	201	6042	ancient monument
http://www.wikidata.org/entity/Q22808403	46	6000	station located underground
http://www.wikidata.org/entity/Q211748	0	5986	oil field
http://www.wikidata.org/entity/Q2293362	1	5655	sculptural group
http://www.wikidata.org/entity/Q13220204	0	5632	second-level administrative country subdivision
http://www.wikidata.org/entity/Q277760	0	5608	gatehouse
http://www.wikidata.org/entity/Q3184121	0	5568	municipality of Brazil
http://www.wikidata.org/entity/Q65954135	0	5397	ICICI Bank branch
http://www.wikidata.org/entity/Q104146934	0	5303	United States of America State-level electoral district
http://www.wikidata.org/entity/Q67015944	0	5292	Government Girls' Primary School
http://www.wikidata.org/entity/Q65954142	0	5257	Bank of Baroda branch
http://www.wikidata.org/entity/Q10145	18	5166	milestone
http://www.wikidata.org/entity/Q19730508	0	5151	former municipality
http://www.wikidata.org/entity/Q1131296	0	5132	freguesia of Portugal
http://www.wikidata.org/entity/Q22674925	2	5126	former populated place
http://www.wikidata.org/entity/Q66619497	0	5099	HDFC Bank branch
http://www.wikidata.org/entity/Q2983893	859	5098	quarter
http://www.wikidata.org/entity/Q207694	42	5098	art museum
http://www.wikidata.org/entity/Q1402592	294	5081	island group
http://www.wikidata.org/entity/Q15630849	0	5057	village of Bulgaria
http://www.wikidata.org/entity/Q106505070	0	5021	Settlement of prehistoric times
http://www.wikidata.org/entity/Q3044808	0	5007	appendage
http://www.wikidata.org/entity/Q381885	0	4993	tomb
http://www.wikidata.org/entity/Q25391	0	4958	dune
http://www.wikidata.org/entity/Q23069713	0	4931	pass
http://www.wikidata.org/entity/Q20871353	0	4920	cadastral area in the Czech Republic
http://www.wikidata.org/entity/Q1195942	7	4917	fire station
http://www.wikidata.org/entity/Q786922	0	4913	drive-in theater
http://www.wikidata.org/entity/Q53060	8	4904	gate
http://www.wikidata.org/entity/Q5890494	0	4865	homestead
http://www.wikidata.org/entity/Q3812392	0	4849	union council of Bangladesh
http://www.wikidata.org/entity/Q73580208	0	4741	Central Bank of India branch
http://www.wikidata.org/entity/Q94993988	33	4714	commercial traffic aerodrome
http://www.wikidata.org/entity/Q845945	0	4699	Shinto shrine
http://www.wikidata.org/entity/Q54074585	0	4696	Tibetan Buddhist monastery
http://www.wikidata.org/entity/Q11707	122	4684	restaurant
http://www.wikidata.org/entity/Q569500	0	4673	community health center
http://www.wikidata.org/entity/Q106577963	0	4667	Q106577963
http://www.wikidata.org/entity/Q43483	20	4656	well
http://www.wikidata.org/entity/Q34627	6	4596	Synagogue
http://www.wikidata.org/entity/Q44494	251	4596	mill
http://www.wikidata.org/entity/Q10480682	1	4581	agricultural structure
http://www.wikidata.org/entity/Q478251	0	4571	bar
http://www.wikidata.org/entity/Q114768	0	4549	granary
http://www.wikidata.org/entity/Q11303	14	4485	skyscraper
http://www.wikidata.org/entity/Q51049922	0	4459	village
http://www.wikidata.org/entity/Q16887036	3	4449	gap
http://www.wikidata.org/entity/Q3240227	9	4422	raised bog
http://www.wikidata.org/entity/Q35112127	0	4378	historic building
http://www.wikidata.org/entity/Q14839548	4356	4358	minor locality in Sweden
http://www.wikidata.org/entity/Q184188	0	4353	canton of France (until 2015)
http://www.wikidata.org/entity/Q14552192	0	4340	chapel-shrine
http://www.wikidata.org/entity/Q109607	41	4319	ruins
http://www.wikidata.org/entity/Q875016	0	4310	terrace house
http://www.wikidata.org/entity/Q15284	0	4307	municipality
http://www.wikidata.org/entity/Q2031836	1	4276	Eastern Orthodox church
http://www.wikidata.org/entity/Q203443	6	4270	tombstone
http://www.wikidata.org/entity/Q2376564	14	4253	interchange
